,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
317,10/04/00,Middlesbrough,Man United,3.0,4.0,A
318,12/04/00,Chelsea,Coventry,2.0,1.0,H
319,12/04/00,West Ham,Newcastle,2.0,1.0,H
320,12/04/00,Wimbledon,Sheffield Weds,0.0,2.0,A
321,15/04/00,Coventry,Middlesbrough,2.0,1.0,H
322,15/04/00,Derby,West Ham,1.0,2.0,A
323,15/04/00,Everton,Bradford,4.0,0.0,H
324,15/04/00,Man United,Sunderland,4.0,0.0,H
325,15/04/00,Newcastle,Leicester,0.0,2.0,A
326,15/04/00,Sheffield Weds,Chelsea,1.0,0.0,H
327,15/04/00,Southampton,Watford,2.0,0.0,H
328,15/04/00,Tottenham,Aston Villa,2.0,4.0,A
329,16/04/00,Leeds,Arsenal,0.0,4.0,A
330,16/04/00,Wimbledon,Liverpool,1.0,2.0,A
331,19/04/00,Leicester,Tottenham,0.0,1.0,A
332,21/04/00,Bradford,Derby,4.0,4.0,D
333,21/04/00,Everton,Liverpool,0.0,0.0,D
334,22/04/00,Aston Villa,Leicester,2.0,2.0,D
335,22/04/00,Chelsea,Middlesbrough,1.0,1.0,D
336,22/04/00,Sheffield Weds,Sunderland,0.0,2.0,A
337,22/04/00,Southampton,Man United,1.0,3.0,A
338,22/04/00,Tottenham,Wimbledon,2.0,0.0,H
339,22/04/00,West Ham,Coventry,5.0,0.0,H
340,23/04/00,Newcastle,Leeds,2.0,2.0,D
341,23/04/00,Watford,Arsenal,2.0,3.0,A
342,24/04/00,Derby,Southampton,2.0,0.0,H
343,24/04/00,Man United,Chelsea,3.0,2.0,H
344,24/04/00,Sunderland,Bradford,0.0,1.0,A
345,29/04/00,Aston Villa,Sunderland,1.0,1.0,D
346,29/04/00,Chelsea,Liverpool,2.0,0.0,H
347,29/04/00,Everton,Arsenal,0.0,1.0,A
348,29/04/00,Newcastle,Coventry,2.0,0.0,H
349,29/04/00,Southampton,Leicester,1.0,2.0,A
350,29/04/00,Tottenham,Derby,1.0,1.0,D
351,29/04/00,Watford,Man United,2.0,3.0,A
352,29/04/00,West Ham,Middlesbrough,0.0,1.0,A
353,30/04/00,Bradford,Wimbledon,3.0,0.0,H
354,30/04/00,Sheffield Weds,Leeds,0.0,3.0,A
355,02/05/00,Arsenal,West Ham,2.0,1.0,H
356,02/05/00,Middlesbrough,Newcastle,2.0,2.0,D
357,03/05/00,Leeds,Watford,3.0,1.0,H
358,03/05/00,Liverpool,Leicester,0.0,2.0,A
359,06/05/00,Arsenal,Chelsea,2.0,1.0,H
