MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA
61,02/10/10,Stoke,Blackburn,1,0,H,74,75
62,02/10/10,Sunderland,Man United,0,0,D,75,82
63,02/10/10,Tottenham,Aston Villa,2,1,H,80,78
64,02/10/10,West Brom,Bolton,1,1,D,73,75
65,02/10/10,West Ham,Fulham,1,1,D,75,77
66,02/10/10,Wigan,Wolves,2,0,H,73,73
67,03/10/10,Chelsea,Arsenal,2,0,H,83,81
68,03/10/10,Liverpool,Blackpool,1,2,A,80,69
69,03/10/10,Man City,Newcastle,2,1,H,82,74
70,16/10/10,Arsenal,Birmingham,2,1,H,81,76
71,16/10/10,Aston Villa,Chelsea,0,0,D,78,83
72,16/10/10,Bolton,Stoke,2,1,H,75,74
73,16/10/10,Fulham,Tottenham,1,2,A,77,80
74,16/10/10,Man United,West Brom,2,2,D,82,73
75,16/10/10,Newcastle,Wigan,2,2,D,74,73
76,16/10/10,Wolves,West Ham,1,1,D,73,75
77,17/10/10,Blackpool,Man City,2,3,A,69,82
78,17/10/10,Everton,Liverpool,2,0,H,78,80
79,18/10/10,Blackburn,Sunderland,0,0,D,75,75
80,23/10/10,Birmingham,Blackpool,2,0,H,76,69
81,23/10/10,Chelsea,Wolves,2,0,H,83,73
82,23/10/10,Sunderland,Aston Villa,1,0,H,75,78
83,23/10/10,Tottenham,Everton,1,1,D,80,78
84,23/10/10,West Brom,Fulham,2,1,H,73,77
85,23/10/10,West Ham,Newcastle,1,2,A,75,74
86,23/10/10,Wigan,Bolton,1,1,D,73,75
87,24/10/10,Liverpool,Blackburn,2,1,H,80,75
88,24/10/10,Man City,Arsenal,0,3,A,82,81
89,24/10/10,Stoke,Man United,1,2,A,74,82
90,30/10/10,Arsenal,West Ham,1,0,H,81,75
91,30/10/10,Blackburn,Chelsea,1,2,A,75,83
92,30/10/10,Everton,Stoke,1,0,H,78,74
93,30/10/10,Fulham,Wigan,2,0,H,77,73
94,30/10/10,Man United,Tottenham,2,0,H,82,80
95,30/10/10,Wolves,Man City,2,1,H,73,82
96,31/10/10,Aston Villa,Birmingham,0,0,D,78,76
97,31/10/10,Bolton,Liverpool,0,1,A,75,80
98,31/10/10,Newcastle,Sunderland,5,1,H,74,75
99,01/11/10,Blackpool,West Brom,2,1,H,69,73
100,06/11/10,Birmingham,West Ham,2,2,D,76,75
101,06/11/10,Blackburn,Wigan,2,1,H,75,73
102,06/11/10,Blackpool,Everton,2,2,D,69,78
103,06/11/10,Bolton,Tottenham,4,2,H,75,80
104,06/11/10,Fulham,Aston Villa,1,1,D,77,78
105,06/11/10,Man United,Wolves,2,1,H,82,73
106,06/11/10,Sunderland,Stoke,2,0,H,75,74
107,07/11/10,Arsenal,Newcastle,0,1,A,81,74
108,07/11/10,Liverpool,Chelsea,2,0,H,80,83
109,07/11/10,West Brom,Man City,0,2,A,73,82
110,09/11/10,Stoke,Birmingham,3,2,H,74,76
111,09/11/10,Tottenham,Sunderland,1,1,D,80,75
112,10/11/10,Aston Villa,Blackpool,3,2,H,78,69
113,10/11/10,Chelsea,Fulham,1,0,H,83,77
