MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
151,02/12/95,Bolton,Nott'm Forest,1,1,D,14,21,30,-16,25,15,3,24,8,14
152,02/12/95,Leeds,Man City,0,1,A,15,22,16,4,12,14,-15,7,24,20
153,02/12/95,Liverpool,Southampton,1,1,D,15,25,14,13,15,15,-10,15,24,27
154,02/12/95,Man United,Chelsea,1,1,D,15,17,14,18,20,15,-3,14,33,32
155,02/12/95,QPR,Middlesbrough,1,1,D,15,9,23,-12,26,15,5,14,11,11
156,02/12/95,Tottenham,Everton,0,0,D,15,19,17,5,19,15,0,19,26,22
157,03/12/95,Wimbledon,Newcastle,3,3,D,15,11,33,-14,38,15,22,33,12,19
158,04/12/95,Sheffield Weds,Coventry,4,3,H,15,32,20,-6,9,15,-18,14,14,14
159,09/12/95,Bolton,Liverpool,0,1,A,16,15,31,-16,25,16,13,28,9,15
160,09/12/95,Chelsea,Newcastle,1,0,H,16,14,18,-3,39,16,22,36,21,15
161,09/12/95,Coventry,Blackburn,5,0,H,16,19,36,-19,21,16,8,27,9,17
162,09/12/95,Leeds,Wimbledon,1,1,D,16,36,17,3,13,15,-14,22,24,20
163,09/12/95,Man United,Sheffield Weds,2,2,D,16,23,15,18,17,16,-5,18,34,33
164,09/12/95,Middlesbrough,Man City,4,1,H,16,22,10,5,15,16,-14,8,27,15
165,09/12/95,Southampton,Arsenal,0,0,D,16,11,26,-10,29,16,11,22,16,16
166,09/12/95,Tottenham,QPR,1,0,H,16,24,17,5,12,16,-12,12,27,22
167,10/12/95,Nott'm Forest,Aston Villa,1,1,D,16,12,22,3,28,15,8,20,26,25
168,11/12/95,Everton,West Ham,3,0,H,16,20,19,0,20,16,-3,17,20,19
169,16/12/95,Arsenal,Chelsea,1,1,D,17,18,11,11,24,17,-2,16,30,22
170,16/12/95,Aston Villa,Coventry,4,1,H,17,36,13,8,12,17,-14,22,29,21
171,16/12/95,Blackburn,Middlesbrough,1,0,H,17,11,24,3,30,17,8,19,21,27
172,16/12/95,Newcastle,Everton,1,0,H,17,19,15,21,23,17,3,22,39,36
173,16/12/95,QPR,Bolton,2,1,H,17,32,25,-13,9,17,-17,15,12,12
174,16/12/95,Sheffield Weds,Leeds,6,2,H,16,18,25,-5,25,17,3,21,18,20
175,16/12/95,West Ham,Southampton,2,1,H,17,26,23,-6,17,17,-10,16,20,17
176,16/12/95,Wimbledon,Tottenham,0,1,A,17,17,37,-14,30,17,6,23,14,23
177,17/12/95,Liverpool,Man United,2,0,H,17,17,15,14,35,17,18,35,28,29
178,18/12/95,Man City,Nott'm Forest,1,1,D,16,23,26,-17,27,17,3,26,15,9
179,23/12/95,Coventry,Everton,2,1,H,18,20,40,-17,23,18,2,22,12,23
180,23/12/95,Liverpool,Arsenal,3,1,H,18,12,15,16,31,18,11,23,31,31
181,23/12/95,Man City,Chelsea,0,1,A,18,19,27,-17,25,18,-2,17,16,10
182,23/12/95,Middlesbrough,West Ham,4,2,H,18,24,12,7,23,18,-5,19,30,19
