Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HT_match_played,HT_current_standing,HT_past_standing,HT_past_goal_diff,HT_past_win_rate,HT_goal_for,HT_goal_against,HT_goal_diff,HT_win_rate_season,AT_match_played,AT_current_standing,AT_past_standing,AT_past_goal_diff,AT_past_win_rate,AT_goal_for,AT_goal_against,AT_goal_diff,AT_win_rate_season,HT_3_win_streak,HT_5_win_streak,HT_3_lose_Streak,HT_5_lose_Streak,AT_3_win_streak,AT_5_win_streak,AT_3_lose_Streak,AT_5_lose_Streak,HT_5_win_rate,AT_5_win_rate,current_standing_diff,past_standing_diff,past_goal_diff_diff,past_win_rate_diff,win_rate_season_diff,goal_diff_diff
2001-04-09,Middlesbrough,Sunderland,0,0,D,31,31,52,-6,0.3684210526315789,34,38,-4,0.1935483870967742,31,48,58,1,0.42105263157894735,37,32,5,0.41935483870967744,0,0,0,0,0,0,0,0,0.2,0.2,-17,-6,-7,-0.05263157894736842,-0.22580645161290325,-9
2001-04-10,Ipswich,Liverpool,1,1,D,31,52,-1,-1,0.0,47,36,11,0.5161290322580645,29,49,67,21,0.5,50,31,19,0.4827586206896552,0,0,0,0,0,0,0,0,0.8,0.4,3,-68,-22,-0.5,0.03337041156840931,-8
2001-04-10,Man United,Charlton,2,1,H,31,70,91,52,0.7368421052631579,68,21,47,0.6774193548387096,31,45,-1,-1,0.0,41,42,-1,0.3870967741935484,0,0,0,0,0,0,0,0,0.4,0.4,25,92,53,0.7368421052631579,0.29032258064516125,48
2001-04-10,Tottenham,Bradford,2,1,H,31,39,53,8,0.3947368421052632,36,40,-4,0.3225806451612903,30,18,36,-30,0.2368421052631579,22,57,-35,0.1,0,0,0,0,0,0,0,0,0.4,0.0,21,17,38,0.1578947368421053,0.2225806451612903,31
2001-04-11,Man City,Arsenal,0,4,A,32,27,-1,-1,0.0,35,55,-20,0.1875,31,57,73,30,0.5789473684210527,49,29,20,0.5161290322580645,0,0,0,0,0,0,0,0,0.2,0.6,-30,-74,-31,-0.5789473684210527,-0.3286290322580645,-40
2001-04-13,Bradford,Charlton,2,0,H,31,18,36,-30,0.2368421052631579,23,59,-36,0.0967741935483871,32,45,-1,-1,0.0,42,44,-2,0.375,0,0,0,0,0,0,0,0,0.0,0.2,-27,37,-29,0.2368421052631579,-0.2782258064516129,-34
2001-04-13,Liverpool,Leeds,1,2,A,30,50,67,21,0.5,51,32,19,0.4666666666666667,32,53,69,15,0.5526315789473685,48,38,10,0.46875,0,0,0,0,1,0,0,0,0.2,0.8,-3,-2,6,-0.052631578947368474,-0.002083333333333326,9
2001-04-14,Arsenal,Middlesbrough,0,3,A,32,60,73,30,0.5789473684210527,53,29,24,0.53125,32,32,52,-6,0.3684210526315789,34,38,-4,0.1875,0,0,0,0,0,0,0,0,0.6,0.2,28,21,36,0.21052631578947373,0.34375,28
2001-04-14,Aston Villa,Everton,2,1,H,32,45,58,11,0.3947368421052632,38,34,4,0.34375,32,38,50,10,0.3157894736842105,36,45,-9,0.3125,0,0,0,0,0,0,0,0,0.6,0.4,7,8,1,0.07894736842105271,0.03125,13
2001-04-14,Chelsea,Southampton,1,0,H,31,48,65,19,0.4736842105263158,58,38,20,0.41935483870967744,31,44,44,-17,0.3157894736842105,34,39,-5,0.3870967741935484,0,0,0,0,0,0,0,0,0.6,0.6,4,21,36,0.1578947368421053,0.03225806451612906,25
