Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,AwayOVA,OVA_diff
2019-04-26,Tottenham,West Ham,0.0,0.0,H,83,78,5
2019-04-26,Man United,Chelsea,0.0,0.0,H,83,83,0
2019-04-26,Leicester,Arsenal,0.0,0.0,H,78,82,-4
2019-04-26,Burnley,Man City,0.0,0.0,A,78,85,-7
2019-04-26,Southampton,Bournemouth,0.0,0.0,H,77,76,1
2019-04-26,Crystal Palace,Everton,0.0,0.0,H,77,79,-2
2019-04-26,Brighton,Newcastle,0.0,0.0,H,76,76,0
2019-04-26,Watford,Wolves,0.0,0.0,H,77,76,1
2019-05-03,Wolves,Fulham,0.0,0.0,H,76,76,0
2019-05-03,Man City,Leicester,0.0,0.0,H,85,78,7
2019-05-03,Newcastle,Liverpool,0.0,0.0,A,76,83,-7
2019-05-03,Arsenal,Brighton,0.0,0.0,H,82,76,6
2019-05-03,Chelsea,Watford,0.0,0.0,H,83,77,6
2019-05-03,Everton,Burnley,0.0,0.0,H,79,78,1
2019-05-03,Huddersfield,Man United,0.0,0.0,A,75,83,-8
2019-05-03,Cardiff,Crystal Palace,0.0,0.0,H,73,77,-4
2019-05-03,West Ham,Southampton,0.0,0.0,H,78,77,1
2019-05-03,Bournemouth,Tottenham,0.0,0.0,A,76,83,-7
2019-05-11,Fulham,Newcastle,0.0,0.0,H,76,76,0
2019-05-11,Liverpool,Wolves,0.0,0.0,H,83,76,7
2019-05-11,Tottenham,Everton,0.0,0.0,H,83,79,4
2019-05-11,Man United,Cardiff,0.0,0.0,H,83,73,10
2019-05-11,Leicester,Chelsea,0.0,0.0,A,78,83,-5
2019-05-11,Burnley,Arsenal,0.0,0.0,A,78,82,-4
2019-05-11,Southampton,Huddersfield,0.0,0.0,H,77,75,2
2019-05-11,Crystal Palace,Bournemouth,0.0,0.0,H,77,76,1
2019-05-11,Brighton,Man City,0.0,0.0,A,76,85,-9
2019-05-11,Watford,West Ham,0.0,0.0,H,77,78,-1
